Date,Close,High,Low,Open,Volume,BTC-INR
2022-02-23,2784375.5,2916828.5,2777301.5,2857096.75,1631142607767,BTC-INR
2022-02-24,2890606.5,2937690.0,2594410.5,2783031.25,3497735352056,BTC-INR
2022-02-25,2943239.0,2977029.75,2873157.0,2890692.25,1992390563114,BTC-INR
2022-02-26,2935838.5,3002617.5,2904834.25,2943153.75,1311385342548,BTC-INR
2022-02-27,2830794.5,2985624.5,2797238.0,2935354.25,1760351975256,BTC-INR
2022-02-28,3251804.75,3294694.25,2815950.25,2830510.5,2686924460630,BTC-INR
2022-03-01,3362145.75,3391191.25,3233805.5,3251900.25,2461958873615,BTC-INR
2022-03-02,3319986.75,3413161.75,3293328.5,3362371.5,2205793894872,BTC-INR
2022-03-03,3221541.0,3327855.25,3181270.5,3320068.25,1894731291136,BTC-INR
2022-03-04,2990614.0,3223650.5,2965607.25,3222023.0,2179008145271,BTC-INR
2022-03-05,3010709.0,3023374.5,2963062.0,2991442.75,1297177384894,BTC-INR
2022-03-06,2936117.0,3029017.0,2920223.25,3010985.25,1508962298409,BTC-INR
2022-03-07,2933861.75,3033484.0,2873775.0,2936829.25,2200366486258,BTC-INR
2022-03-08,2979467.0,3017113.0,2925795.0,2933697.0,1982599267719,BTC-INR
2022-03-09,3196376.75,3243496.5,2977069.25,2979893.75,2457956655818,BTC-INR
2022-03-10,3009494.0,3199191.25,2965650.75,3195702.5,2371584024548,BTC-INR
2022-03-11,2977871.0,3058881.25,2930568.0,3009685.5,2023747900200,BTC-INR
2022-03-12,2986241.0,3017296.5,2976148.75,2977832.0,1121947059286,BTC-INR
2022-03-13,2905152.25,3009678.25,2895825.0,2984760.25,1327919311775,BTC-INR
2022-03-14,3034124.0,3040708.5,2892186.0,2904895.25,1860410435735,BTC-INR
2022-03-15,3001291.75,3035323.5,2931498.0,3033932.25,1826007498504,BTC-INR
2022-03-16,3127944.25,3165486.75,2978790.5,3001046.25,3011854026522,BTC-INR
2022-03-17,3111562.0,3134157.25,3085752.75,3127709.75,1672330384858,BTC-INR
2022-03-18,3174658.0,3205931.25,3068765.25,3111065.25,2614202820442,BTC-INR
2022-03-19,3204239.25,3213801.0,3159583.75,3174163.75,1493479879639,BTC-INR
2022-03-20,3133751.75,3208075.25,3114174.5,3204296.25,1529195548995,BTC-INR
2022-03-21,3134553.5,3161148.0,3094732.25,3133623.25,1878347048104,BTC-INR
2022-03-22,3223596.25,3296936.25,3123983.25,3134256.25,2435622695767,BTC-INR
2022-03-23,3283530.75,3283572.75,3187907.5,3224020.0,1932391366138,BTC-INR
2022-03-24,3355263.5,3366978.0,3269384.5,3283048.25,2369317738111,BTC-INR
2022-03-25,3382861.25,3431657.0,3332757.5,3355539.25,2332174950809,BTC-INR
2022-03-26,3394418.5,3412356.5,3368943.75,3382947.25,1292940949718,BTC-INR
2022-03-27,3571408.75,3571946.75,3389572.25,3394764.0,2148077551355,BTC-INR
2022-03-28,3583337.75,3659317.0,3561475.0,3571512.25,2764767121764,BTC-INR
2022-03-29,3591587.0,3635082.75,3581241.75,3581241.75,2375719667322,BTC-INR
2022-03-30,3568669.75,3613165.0,3536374.25,3590918.5,2224330955730,BTC-INR
2022-03-31,3456816.0,3602578.25,3445570.75,3568630.5,2529866694882,BTC-INR
2022-04-01,3515257.5,3542035.0,3370411.5,3457991.5,2898590219115,BTC-INR
2022-04-02,3483957.75,3571967.25,3477392.5,3515550.25,2228249277383,BTC-INR
2022-04-03,3530240.75,3594955.25,3466120.0,3483211.75,1931368188379,BTC-INR
2022-04-04,3518457.25,3529945.5,3412509.0,3529610.25,2452650064021,BTC-INR
2022-04-05,3437242.75,3546998.75,3436398.75,3518595.5,2236411615939,BTC-INR
2022-04-06,3281350.5,3436364.75,3280379.75,3436364.75,2991745033826,BTC-INR
2022-04-07,3302527.5,3332860.75,3258056.75,3281408.5,1981490934707,BTC-INR
2022-04-08,3210373.75,3334194.75,3202449.75,3302625.25,2066170330350,BTC-INR
2022-04-09,3247912.75,3248268.25,3202447.25,3209949.75,1218534520984,BTC-INR
2022-04-10,3204303.0,3293026.5,3190144.25,3247833.5,1340284515096,BTC-INR
2022-04-11,2997283.75,3217268.75,2986034.75,3203799.5,2574712213136,BTC-INR
2022-04-12,3055683.0,3088992.75,2991287.0,2998179.5,2360001240442,BTC-INR
2022-04-13,3133692.0,3152599.25,3023115.25,3055407.75,2107900955284,BTC-INR
2022-04-14,3047441.5,3155935.5,3028011.25,3133196.25,1857515094358,BTC-INR
2022-04-15,3095510.75,3099948.25,3042216.0,3047738.0,1660735610567,BTC-INR
2022-04-16,3085665.5,3101633.75,3059250.25,3095423.25,1284901325445,BTC-INR
2022-04-17,3031660.75,3096828.5,3024328.25,3085153.5,1456990562888,BTC-INR
2022-04-18,3114242.0,3126325.75,2954798.75,3031985.0,2571046354667,BTC-INR
2022-04-19,3172704.5,3186281.5,3098897.0,3114391.5,1934319995647,BTC-INR
2022-04-20,3155890.75,3213426.0,3124692.75,3172627.75,2121975278923,BTC-INR
2022-04-21,3091907.5,3267118.5,3056263.0,3155672.5,2698655313762,BTC-INR
2022-04-22,3038692.0,3107897.75,3009575.25,3091793.0,2141879505658,BTC-INR
2022-04-23,3019340.75,3054114.75,3009015.0,3038569.75,1233988953432,BTC-INR
2022-04-24,3017970.0,3046806.75,2999981.0,3018702.0,1373625124597,BTC-INR
2022-04-25,3096191.5,3098751.0,2939270.75,3018223.25,2712589096791,BTC-INR
2022-04-26,2927203.75,3118421.25,2907342.75,3095434.75,2654708946533,BTC-INR
2022-04-27,3000809.75,3015802.5,2917903.0,2927422.0,2369150668263,BTC-INR
2022-04-28,3046247.5,3085998.0,2984756.25,3000833.25,2596659093685,BTC-INR
2022-04-29,2954609.0,3054268.0,2926636.25,3045848.25,2363314896289,BTC-INR
2022-04-30,2886123.25,2966959.0,2884827.5,2954305.5,1828614642456,BTC-INR
2022-05-01,2943784.25,2955989.0,2876244.75,2886000.0,2066341797861,BTC-INR
2022-05-02,2948474.25,2988707.5,2919843.25,2944020.75,2519420026825,BTC-INR
2022-05-03,2886684.5,2960208.75,2873792.5,2948381.0,2089624207588,BTC-INR
2022-05-04,3017147.5,3038151.75,2885278.0,2886497.75,2793400899177,BTC-INR
